variable,period,month,total_points,valid_vc,filtered_vc,significant_vc,percent_significant_vc,mean_tau_vc,mean_sl_vc,percent_vc_corrected,percent_tau_b_adjusted_vc,mean_ties_vc,valid_tfpw,filtered_tfpw,significant_tfpw,percent_significant_tfpw,mean_tau_tfpw,mean_sl_tfpw,percent_tfpw_applied,percent_tau_b_adjusted_tfpw,mean_ties_tfpw,agreement_significance,agreement_direction,points_with_peaks,percent_with_peaks,mean_dominant_period,mean_rho1
Precipitation,annual,,2021,2021,0,1123,58.1262939958592,-0.018923963413999,-0.00219470319433375,69.8664027709055,0,0,2021,0,1112,55.0222662048491,0.00306522017783762,-0.00219470319433375,77.882236516576,0,0,86.8012422360249,93.2211776348342,1897,93.8644235526967,18.3483993396084,0.0245372913365441
Precipitation,monthly,1,2021,2021,0,1233,62.4936644703497,-0.0476715992387831,-0.00101244242638433,71.4497773379515,0,0.000668654800272811,2021,0,1057,52.3008411677388,-0.0316171787446932,-0.00101244242638433,76.4967837704107,0,0.000668654800272811,86.6700456158135,94.1613062840178,1571,77.7337951509154,14.9065536701546,-0.0336312564639509
Precipitation,monthly,2,2021,2021,0,1214,61.8126272912424,-0.0468884265619092,-0.00101548135591456,71.9445818901534,0,0.000687228544724834,2021,0,1049,51.9049975259772,-0.0292231041408754,-0.00101548135591456,75.1113310242454,0,0.000687228544724834,86.7107942973524,94.4087085601188,1545,76.4473033151905,16.1476683514334,-0.0285656594780916
Precipitation,monthly,3,2021,2021,0,1228,62.3033992897007,-0.0479000274762309,-0.00101073138316159,71.845620979713,0,0.000696907820002648,2021,0,1055,52.2018802572984,-0.0312539842328179,-0.00101073138316159,76.3483424047501,0,0.000696907820002648,87.1131405377981,93.9139040079169,1592,78.7728847105393,15.3646195805308,-0.0329488741529587
Precipitation,monthly,4,2021,2021,0,1219,61.9725470259278,-0.0469509784098341,-0.000983915408342362,72.3899059871351,0,0,2021,0,1051,52.0039584364176,-0.0296916338703931,-0.000983915408342362,75.9524987629886,0,0,87.0360955770209,94.9529935675408,1561,77.2389905987135,16.5664494560671,-0.0287601958832627
Precipitation,monthly,5,2021,2021,0,1225,62.2143219908583,-0.0474998306990594,-0.00100840286677685,71.3013359722909,0,0,2021,0,1049,51.9049975259772,-0.0308557647966507,-0.00100840286677685,75.5566551212271,0,0,86.7953275774505,94.1118258287976,1587,78.5254824344384,15.4662558588074,-0.031498028025667
Precipitation,monthly,6,2021,2021,0,1232,62.4113475177305,-0.0466697304387766,-0.000986524007914073,71.3508164275111,0,0.000668654800272811,2021,0,1070,52.9440870856012,-0.0305341088598837,-0.000986524007914073,74.9628896585849,0,0.000668654800272811,86.8794326241135,94.458189015339,1559,77.1400296882731,15.448589584203,-0.0320027738993272
Precipitation,monthly,7,2021,2021,0,1229,62.4174707973591,-0.0466732333424659,-0.00101224073099019,70.9549727857496,0,0,2021,0,1071,52.9935675408214,-0.0296034009588351,-0.00101224073099019,76.051459673429,0,0,87.0492635855764,94.5076694705591,1547,76.5462642256309,15.6774918008079,-0.0302804981208343
Precipitation,monthly,8,2021,2021,0,1223,62.0182555780933,-0.0470088212430163,-0.000969828423332796,70.9549727857496,0,0,2021,0,1069,52.894606630381,-0.0309757869394614,-0.000969828423332796,76.9421078673924,0,0,87.2210953346856,94.7550717466601,1587,78.5254824344384,15.2595743267213,-0.0338859232110219
Precipitation,monthly,9,2021,2021,0,1224,62.2583926754832,-0.0463647314095026,-0.000997232916708009,70.9549727857496,0,0,2021,0,1056,52.2513607125186,-0.0289701105167957,-0.000997232916708009,74.8639287481445,0,0,86.5717192268566,95.1014349332014,1559,77.1400296882731,16.0879470791112,-0.0282058581881875
Precipitation,monthly,10,2021,2021,0,1233,62.5570776255708,-0.047085088175302,-0.00100306835503241,70.9054923305294,0,0.000706863646002686,2021,0,1065,52.6966848095003,-0.030680853288566,-0.00100306835503241,75.9030183077684,0,0.000706863646002686,86.5043125317098,94.6066303809995,1590,78.673923800099,15.304770899322,-0.0325855195738522
Precipitation,monthly,11,2021,2021,0,1221,61.9796954314721,-0.0466042735169495,-0.000983634468108299,71.5982187036121,0,0,2021,0,1061,52.4987629886195,-0.029871289584819,-0.000983634468108299,76.1999010390896,0,0,86.751269035533,94.7055912914399,1570,77.6843146956952,15.686425604527,-0.0316383334780772
Precipitation,monthly,12,2021,2021,0,1230,62.4365482233503,-0.0469470827820575,-0.000998330059540111,70.6086095992083,0,0,2021,0,1063,52.5977238990599,-0.0302490444874004,-0.000998330059540111,75.0618505690252,0,0,86.9035532994924,94.6561108362197,1557,77.0410687778328,15.3452932382647,-0.0322396200100888
PET,annual,,2021,1999,22,971,78.2433521353747,0.228789042117466,0.375257546039725,82.632360217714,1.83077684314696,1.22395478110471,1999,22,1637,81.8909454727364,0.207365218752585,0.375257546039725,90.0544285007422,1.83077684314696,1.22395478110471,94.3593875906527,98.2991495747874,1935,95.7446808510638,38.5772020642883,0.369837123072309
PET,monthly,1,2021,1989,32,1075,76.89556509299,0.195337549581859,0.523945062194362,81.1974270163286,3.11726867887185,1.97947227125766,1989,32,1558,78.3308195072901,0.174892563143175,0.523945062194362,85.3537852548243,3.11726867887185,1.97947227125766,90.9871244635193,98.139768728004,1773,87.7288471053934,38.4234389617204,0.280564742867043
PET,monthly,2,2021,1991,30,1070,76.3195435092725,0.193421635058487,0.537606997594576,81.0984661058882,3.21622958931222,1.95878434346065,1991,30,1563,78.50326469111,0.174187996011059,0.537606997594576,86.0959920831272,3.21622958931222,1.95878434346065,91.9400855920114,97.5891511803114,1782,88.1741712023751,38.1602247507351,0.283136363070217
PET,monthly,3,2021,1990,31,1081,76.7210787792761,0.194227958481838,0.529533179464805,81.5932706580901,3.16674913409203,1.9801782666761,1990,31,1564,78.5929648241206,0.175592241545703,0.529533179464805,86.7887184562098,3.16674913409203,1.9801782666761,91.7672107877928,98.2412060301507,1773,87.7288471053934,38.2080351496595,0.27761497372414
PET,monthly,4,2021,1990,31,1080,76.8136557610242,0.192599549130998,0.534549250289309,80.8015833745671,3.21622958931222,1.96933365643293,1990,31,1562,78.4924623115578,0.172882022763081,0.534549250289309,85.8485898070262,3.21622958931222,1.96933365643293,91.6073968705548,98.0402010050251,1788,88.4710539336962,37.7079290023921,0.280686236436125
PET,monthly,5,2021,1992,29,1088,77.3276474769012,0.195898829229784,0.559108634442037,81.5437902028699,3.21622958931222,1.95536581956126,1992,29,1568,78.714859437751,0.176139491394859,0.559108634442037,87.1350816427511,3.21622958931222,1.95536581956126,91.6133617626155,98.0421686746988,1778,87.9762493814943,38.132102318379,0.279308580179948
PET,monthly,6,2021,1990,31,1099,77.9985805535841,0.194845252799033,0.527057974909943,80.4552201880257,3.06778822365166,1.96527764173133,1990,31,1568,78.7939698492462,0.17447848806039,0.527057974909943,86.0959920831272,3.06778822365166,1.96527764173133,91.7672107877928,98.1909547738694,1762,87.1845620979713,38.5930964197126,0.278518023528809
PET,monthly,7,2021,1991,30,1078,77.0550393137956,0.194815712528197,0.554021144766531,80.5047006432459,3.3151904997526,1.96830968356038,1991,30,1566,78.6539427423405,0.174964776164191,0.554021144766531,85.7496288965858,3.3151904997526,1.96830968356038,92.9949964260186,98.1416373681567,1770,87.5804057397328,38.2569038464074,0.283224999210665
PET,monthly,8,2021,1992,29,1068,76.4495347172513,0.194290322249781,0.525029159670476,80.9995051954478,3.36467095497279,1.97518612979089,1992,29,1566,78.6144578313253,0.174836630763712,0.525029159670476,85.4527461652647,3.36467095497279,1.97518612979089,92.1975662133143,98.4939759036145,1778,87.9762493814943,38.2257242088901,0.279337638015592
PET,monthly,9,2021,1990,31,1094,77.4787535410765,0.191989339968771,0.53382018940468,80.4552201880257,3.21622958931222,1.96424164866835,1990,31,1569,78.8442211055276,0.172691495744841,0.53382018940468,84.8095002474023,3.21622958931222,1.96424164866835,92.6345609065156,98.1407035175879,1794,88.7679366650173,37.6765384035407,0.281713894319108
PET,monthly,10,2021,1991,30,1089,77.015558698727,0.195071337632226,0.54597843021155,80.4057397328056,3.21622958931222,1.96536585420662,1991,30,1569,78.8046207935711,0.176700384992669,0.54597843021155,86.7887184562098,3.21622958931222,1.96536585420662,93.0693069306931,98.3927674535409,1788,88.4710539336962,37.8207425404573,0.276712928829776
PET,monthly,11,2021,1989,32,1089,77.34375,0.194044074764089,0.530734124595853,80.257298367145,3.11726867887185,1.96891596698589,1989,32,1572,79.0346907993967,0.175039898553741,0.530734124595853,86.046511627907,3.11726867887185,1.96891596698589,92.1875,98.6928104575163,1775,87.8278080158338,38.2131366749139,0.278058128165916
PET,monthly,12,2021,1991,30,1084,77.2630078403421,0.196627471528365,0.558598092465739,81.0984661058882,3.36467095497279,1.96313970059977,1991,30,1581,79.4073329984932,0.176788590806238,0.558598092465739,86.6897575457694,3.36467095497279,1.96313970059977,93.0862437633642,98.5434455047715,1776,87.877288471054,38.2676185422699,0.28258257655102
